imei,friendly_name,location_name,latitude,longitude
865583046180302,202510,,45.31938462,8.43376406
865583046180278,202512,Nome Posizione,45.3055826,8.44469325
865583046142153,202514,,45.33296609,8.40873518
865583046172176,202516,,45.32411937,8.39305626
865583046172135,202518,,45.31455958,8.42439946
865583046180476,202519,,45.3253385,8.4353487
865583046180575,202524,,45.33235732,8.41084228
865583046180526,202525,,45.34165406,8.40136917
865583046141924,202527,,45.32064366,8.42689572
865583046180336,202528,,45.32388844,8.40508926
865583046180542,202546,,45.32530654,8.41412061
865583046180559,202547,,45.33461449,8.4208366
865583046180310,202549,,45.32498894,8.43203554
865583046180450,202550,,45.33475441,8.39185263
865583046172150,202551,,45.32367715,8.41187181
865583046180187,202552,,45.32844622,8.4114878
865583046180229,202553,,45.33844024,8.40495765
865583046180385,202554,,45.33015906,8.40441135
865583046180252,202556,,45.31728385,8.41126148
865583046172093,202558,,45.33275483,8.42794773
865583046142229,202559,,45.32846085,8.41569782
865583046180492,202563,,45.31937185,8.41352259
865583046141866,202573,,45.30093311,8.42467688
